ID,Name,Concepticon_ID,Concepticon_Gloss,Core_list,Semantic_category,Semantic_field,Borrowed_score,Age_score,Simplicity_score
10-474,to go out,1107,GO OUT,yes,Verb,Motion,0.0277136258661,0.790762124711,0.767898383372
10-48,to come,1446,COME,yes,Verb,Motion,0.0323275862069,0.880603448276,0.939655172414
10-481,to come back,581,COME BACK,yes,Verb,Motion,0.177480916031,0.814503816794,0.825381679389
10-49,to leave,1752,LEAVE,yes,Verb,Motion,0.135880267822,0.819614021268,0.799133517133
10-491,to disappear,485,DISAPPEAR,yes,Verb,Motion,0.133333333333,0.822222222222,0.811111111111
10-51,to flee,956,FLEE,yes,Verb,Motion,0.125,0.820512820513,0.832264957265
10-52,to follow,1085,FOLLOW,yes,Verb,Motion,0.0715767634855,0.809543568465,0.809128630705
10-53,to pursue,1047,PURSUE,yes,Verb,Motion,0.16049382716,0.798765432099,0.779835390947
10-55,to arrive,1387,ARRIVE,yes,Verb,Motion,0.16848673947,0.841497659906,0.836973478939
10-56,to approach,1778,APPROACH,yes,Verb,Motion,0.0729166666667,0.839583333333,0.692708333333
10-57,to enter,749,ENTER,yes,Verb,Motion,0.075,0.834615384615,0.792307692308
10-61,to carry,700,CARRY,yes,Verb,Motion,0.0808918496363,0.873523213922,0.953368227857
