ID,Target_Form_ID,Source_Form_ID,Comment,Source,Source_relation,Source_word,Source_meaning,Source_certain,Source_languoid,Source_languoid_glottocode
14491,Indonesian-22-132-1,,,,earlier,masjid,mosque,yes,Arabic,stan1318
14492,Indonesian-24-14-1,,,,earlier,nihil,nothing,yes,Latin,
14493,Indonesian-1-1-2,,,,earlier,‘ālam,"world, universe",yes,Arabic,stan1318
14494,Indonesian-1-21-3,,,,earlier,bhūmi,earth,yes,Sanskrit,sans1269
14495,Indonesian-1-32-2,,,,earlier,samudra,"sea, ocean",yes,Sanskrit,sans1269
14496,Indonesian-1-329-2,,,,earlier,samudra,"sea, ocean",yes,Sanskrit,sans1269
14497,Indonesian-1-51-2,,,,earlier,ākāśa,sky,yes,Sanskrit,sans1269
14498,Indonesian-1-52-2,,,,earlier,sūrya,sun,yes,Sanskrit,sans1269
14499,Indonesian-1-53-3,,,,earlier,candra,the moon,yes,Sanskrit,sans1269
14500,Indonesian-1-72-2,,,,earlier,vāyu,wind,yes,Sanskrit,sans1269
14501,Indonesian-1-73-2,,,,earlier,megha,cloud,yes,Sanskrit,sans1269
14502,Indonesian-1-78-2,,,,earlier,udāra,"high, rising fog or vapour",yes,Sanskrit,sans1269
14503,Indonesian-1-71-1,,,,earlier,udāra,"high, rising fog or vapour",yes,Sanskrit,sans1269
14504,Indonesian-2-1-2,,,,earlier,mānuṣya,"human, man",yes,Sanskrit,sans1269
14505,Indonesian-2-21-2,,,,earlier,priya,"beloved, lover, husband",yes,Sanskrit,sans1269
14506,Indonesian-2-23-2,,,,earlier,priya,"beloved, lover, husband",yes,Sanskrit,sans1269
14507,Indonesian-2-22-2,,,,earlier,vanita,woman,yes,Sanskrit,sans1269
14508,Indonesian-2-24-2,,,,earlier,vanita,woman,yes,Sanskrit,sans1269
14509,Indonesian-2-251-2,,,,earlier,taruṇa,young,yes,Sanskrit,sans1269
14510,Indonesian-2-41-1,,,,earlier,putra,"son, child, the young of an animal",yes,Sanskrit,sans1269
14511,Indonesian-2-25-1,,,,earlier,putra,"son, child, the young of an animal",yes,Sanskrit,sans1269
14512,Indonesian-2-42-1,,,,earlier,putrī,daughter,yes,Sanskrit,sans1269
14513,Indonesian-2-26-2,,,,earlier,putrī,daughter,yes,Sanskrit,sans1269
14514,Indonesian-2-52-2,,,,earlier,tante,aunt,yes,French,stan1290
14515,Indonesian-2-81-2,,,,earlier,sodara,half-brother (sharing the same mother),yes,Sanskrit,sans1269
14516,Indonesian-2-91-2,,,,earlier,sahaya,companion,yes,Sanskrit,sans1269
14517,Indonesian-4-204-2,,,,earlier,wajh,face,yes,Arabic,stan1318
14518,Indonesian-5-82-2,,,,earlier,marica,black pepper,yes,Sanskrit,sans1269
14519,Indonesian-10-44-2,,,,earlier,dança,dance,yes,Portuguese,port1283
14520,Indonesian-10-491-3,,,,earlier,ɣaib,"absence, hidden, invisible",yes,Arabic,stan1318
14521,Indonesian-10-65-2,,,,earlier,chauffeur,driver,yes,French,stan1290
14522,Indonesian-11-77-3,,,,earlier,gage,wage for servants,yes,French,stan1290
14523,Indonesian-11-83-2,,,,earlier,barater,barter,yes,Old French,
14524,Indonesian-15-56-3,,,,earlier,chāya,"shade, reflection, lustre, light",yes,Sanskrit,sans1269
14525,Indonesian-17-16-2,,,,earlier,fahm,"understanding, comprehension",yes,Arabic,stan1318
14526,Indonesian-18-39-5,,,,earlier,kathā,"conversation, speech, story",yes,Sanskrit,sans1269
14527,Indonesian-18-42-2,,,,earlier,nāma(n),name,yes,Sanskrit,sans1269
14528,Indonesian-21-31-3,,,,earlier,da‘wā,"allegation, claim, lawsuit",yes,Arabic,stan1318
14529,Indonesian-22-17-2,,,,earlier,du‘ā’,prayer,yes,Arabic,stan1318
14530,Indonesian-24-01-2,,,,earlier,rūpa,form,yes,Sanskrit,sans1269
14531,Indonesian-21-15-2,,,,earlier,maḥkamah,"court, tribunal",yes,Arabic,stan1318
14532,Indonesian-10-831-2,,,,earlier,canaoua,canoe,yes,Arawakan (Haiti),
14533,Indonesian-3-863-3,,,,earlier,coelho,rabbit,yes,Portuguese,port1283
14534,Indonesian-3-614-2,,,,earlier,coelho,rabbit,yes,Portuguese,port1283
14535,Indonesian-3-863-2,,,,earlier,arnab,rabbit,yes,Arabic,stan1318
14536,Indonesian-3-614-3,,,,earlier,arnab,rabbit,yes,Arabic,stan1318
14537,Indonesian-4-843-3,,,,earlier,śleṣma(n),mucus,yes,Sanskrit,sans1269
14538,Indonesian-5-28-2,,,,earlier,pannetje,little pot,yes,Dutch,dutc1256
14539,Indonesian-5-34-2,,,,earlier,pichier,pot,yes,Old French,
14540,Indonesian-5-78-2,,,,earlier,elaiá,olive,yes,Greek,mode1248
14541,Indonesian-6-44-2,,,,earlier,camisa,shirt,yes,Portuguese,port1283
14542,Indonesian-6-44-3,,,,earlier,blouse,blouse,yes,French,stan1290
14543,Indonesian-6-42-3,,,,earlier,goune,gown,yes,Old French,
14544,Indonesian-6-42-4,,,,earlier,tuniqe,tunic,yes,Old French,
14545,Indonesian-6-61-2,,,,earlier,saco,bag,yes,Portuguese,port1283
14546,Indonesian-6-63-2,,,,earlier,alfinete,pin,yes,Portuguese,port1283
14547,Indonesian-6-82-2,,,,earlier,toalha,towel,yes,Portuguese,port1283
14548,Indonesian-7-14-2,,,,earlier,xaimah,tent,yes,Arabic,stan1318
14549,Indonesian-7-231-2,,,,earlier,grendel,external bolt,yes,Dutch,dutc1256
14550,Indonesian-4-41-2,,,,earlier,payodhara,containing water or milk; a woman's breast or an udder,yes,Sanskrit,sans1269
14551,Indonesian-11-18-2,,,,earlier,bhāṇḍa,goods,yes,Sanskrit,sans1269
14552,Indonesian-11-27-2,,,,earlier,vināśa,destruction,yes,Sanskrit,sans1269
14553,Indonesian-11-44-2,,,,earlier,coin,"wedge, corner, die",yes,Old French,
14554,Indonesian-13-14-2,,,,earlier,sakala,"whole, all",yes,Sanskrit,sans1269
14555,Indonesian-14-11-2,,,,earlier,mAsa,"the moon, month",yes,Sanskrit,sans1269
14556,Indonesian-14-11-3,,,,earlier,tempo,time,yes,Portuguese,port1283
